key	Name	Stars	Type	Atk	Sh	Effect		Str	Old Type	Wk	Rst
bronky	Bronky	1	Earth	12	18	If Dawnage or Duskray is in your hand you may discard Bronky from the field to special summon one.	summoning	5	PSY	MYS/AST	LGT/PSN
sandwitch	Sand Witch	1	Earth	25	9	None	none	5	RCK	WAT/GRS	FLY/ETR 
guynormous	Guynormous	2	Water	48	0	When this card destroys a denigen, if the carry over damage is less than 10 points, you may choose to convert the carry over to SH points.	OnDestroy	7	WAT	ETR/GRS	FIR/RCK
skidit	Skidit	1	Metal	20	10	Can deal 5 points of Direct Damage instead of the Attack phase.	attacking	5	ETR/RCK	PLT/GRS	ETR/FLY/WAT 
solvienta	Solvienta	2	Star	28	20	When played, change the type of one other denigen, excluding RNB type.	OnSummon	7	AST	PSN/MYS	PSY/PLT
gascon	Gascon	1	Spirit	0	30	When destroyed, the denigen that destroyed this card becomes poisoned and its shield is decreased by one point until that denigen is destroyed.	OnDeath	5	PSN 	DRK/PSY	AST/ICE
goikko	Goikko	1	Wood	15	15	If destroyed, the opponent receives 3 pp of direct damage for each star of the attacking denigen.	OnDeath	5	GRS/WAT	LGT/FLY	WAT/FIR/RCK
guy	Guy	1	Water	16	18	None	none	5	WAT 	GRS/ETR	FIR/RCK
veneficia	Veneficia	1	Star	23	7	For every denigen that this card destroys, gain 5 power points.	OnDestroy	5	AST	MYS/PSN	PSY/PLT
duskray	Duskray	2	Void	25	23	When summoned, increase ATK & SH by 1 for each Bronky, Dawnage & Duskray in the discard pile.	OnSummon	7	PSN/DRK	DRG/LGT/PSY	AST/PSN/ICE/MYS
magnerox	Magnerox	1	Electric	15	15	When summoned face-up, you may draw a card.	OnSummon	5	ETR/PLT	ICE/RCK/AST	FLY/ETR/WAT/DRG
etib	Etib	1	Earth	23	7	When this denigen destroys an opponent's denigen, place Etib back into the deck and replace with another 1-star denigen from your deck. If Etib is destroyed in the attack, this card is sent to the discard pile instead.	OnDestroy	5	RCK	GRS/WAT	ETR/FLY 
northernstars	The Northern Stars	1	Void	23	7	When summoned face-up, this card flips all opponents' denigens to face-up position.	OnSummon	5	DRK/AST	DRG/LGT	PLT/PSN/PSY/MYS
crabgrass	Crabgrass	2	Wood	18	30	Gain 3 power points for every turn you remember.	summoning	7	GRS/RCK	FIR	ETR/FLY/WAT/RCK
helogi	Helogi	1	Fire	30	0	For every denigen Helogi destroys, gain a shield equal to 4 times the star value of the destroyed denigen.	OnDestroy	5	ETR	PLT/RCK 	FLY/WAT
mudpuppy	Mudpuppy	1	Water	34	5	None	none	5	WAT/GRS	LGT/FLY	RCK/WAT/FIR
chenille	Chenille	1	Wood	16	14	When this denigen is destroyed, draw another card.	OnDeath	5	GRS 	FLY/FIR	WAT/RCK
gublia	Gublia	1	Fire	10	20	If destroyed by a card higher than its level, destroy the attacking card.	OnDeath	5	DRG/FLY	PLT/RCK/ICE/LGT	DRK/FIR/LGT/GRS
gible	Gible	1	Wood	18	12	When destroyed, take a card out of your discard pile and place it in your hand.	OnDeath	5	GRS/PSN	DRK/FLY/PSY/FIR	AST/RCK/ICE
mirmouse	Mirmouse	1	Metal	5	34	None	none	5	PLT	ICE/AST	DRG/LGT
gub	Gub 	1	Fire	17	13	When Gub is destroyed summon one level 1 denigen from your deck or hand to the field.	OnDeath	5	DRG	ICE/PLT	DRK/LGT
meserg	Meserg	1	Metal Spirit	12	18	When destroyed, a denigen with at least as many stars as the destroying card may be summoned to your field.	OnDeath	5	PLT	ICE/AST	DRG/LGT
ecafon	Ecafon	1	Earth Spirit	0	30	Cannot be attacked by single type denigens, excluding its weaknesses.	OnTarget	5	MYS	DRK/LGT	PSY/AST
dawnage	Dawnage	2	Seeker	23	25	When destroyed, special summon a Bronky from anywhere.	OnDeath	7	LGT/FLY	DRG/RCK/PSY/ETR	MYS/FIR/GRS/DRK
snuckle	Snuckle	1	Earth	7	32	None	none	5	RCK/WAT	GRS	FIR/ETR/RCK/FLY
shenanigan	Shenanigan	1	Psychic	17	22	None	none	5	LGT	DRG/FLY	DRK/MYS
sorillian	Sorillian	1	Water	23	16	None	none	5	PSN/WAT	DRK/ETR/PSY/GRS	FIR/ICE/RCK/AST
mortum	Mortum	1	Void	15	15	The denigen who destroys this card is also destroyed. (Flip Effect only)	OnDeath	5	DRK	LGT/DRG	MYS/PSN
brassmonkey	Brass Monkey	3	Fire Spirit	40	26	When played, choose an opponent's denigen. That denigen cannot attack or destroy Brass Monkey.	OnSummon	9	MYS/FIR	WAT/LGT/FLY/DRK	GRS/AST/ICE/PSY
lingula	Lingula	1	Seeker	15	15	This card counts as a 2 card tribute. (Cannot be special summoned)	summoning	5	LGT	DRG/PSY	DRK/MYS
provaricado	Provaricado	1	Psychic	3	27	Flip up one facedown card when played, and only when it is played.	OnSummon	5	FLY	ETR/RCK	FIR/GRS
kosar	Kosar	1	Electric	16	14	Must be attacked twice to be destroyed completely. Carry over all damage calculations.	attacking	5	ETR	PLT/RCK	FLY/WAT
fumalore	Fumalore	2		24	24	The tributed card goes to the hand and not the discard pile.	OnSummon	5	FLY	ETR/RCK	FIR/GRS
incorporealan	Incorporealan	3	Water Spirit	38	28	For every turn you remember, subtract 4 Power Points from your opponent(s).	summoning	9	DRK/PSN	LGT/PSY	MYS/AST/PSN/ICE
	Ruswall	3		70	0	None	none	9	ICE/WAT	ETR/PSN/GRS	PLT/FIR/DRG/RCK
kereas	Kereas	2	Spirit	22	30	None	none	7	PDX	All	None
	Ereimul	4		40	48	None	none	12	DRG/LGT	PLT/PSY/ICE	DRK/MYS/LGT
voldora	Voldora	3	Fire	24	42	When summoned, add 3 ATK pts for each DRG type in your discard pile.	OnSummon	9	FIR/DRG	FLY/PLT/WAT	LGT/GRS/DRK/ICE
songbird	Songbird	3	Seeker	29	41	None	none	9	FLY	ETR/RCK	FIR/GRS
strato	Strato	4	Psychic	36	48	This card may be normal summoned as if a three star denigen, but it may not attack on its first turn.	special	12	PSY/DRK	DRG/AST	PSN/MYS/LGT
herba	Herba	2	Wood	18	30	If any denigen on your side of the field is destroyed, while this card is on the field (including this denigen), destroy the attacking denigen. This effect works only once.	attacking	7	GRS	FIR/FLY	RCK/WAT
